#{"t_start": 1655252739.545968, "env_id": "CartPole-v1"}
r,l,t
500.0,500,41.005372
500.0,500,41.110875
500.0,500,41.21674
500.0,500,41.318044
500.0,500,41.43695
500.0,500,41.53878
500.0,500,41.63632
500.0,500,41.738612
500.0,500,41.839594
500.0,500,41.940851
500.0,500,42.065007
500.0,500,42.165938
500.0,500,42.267584
500.0,500,42.365218
500.0,500,42.462699
500.0,500,42.558992
500.0,500,43.267269
500.0,500,43.366064
500.0,500,43.468204
500.0,500,43.571272
500.0,500,43.671953
500.0,500,43.773297
367.0,367,43.862457
500.0,500,43.997636
500.0,500,44.099031
500.0,500,44.201234
500.0,500,44.302466
500.0,500,44.402276
500.0,500,44.520281
500.0,500,44.618799
500.0,500,44.719969
500.0,500,44.816762
500.0,500,44.912383
500.0,500,45.007352
500.0,500,45.124225
500.0,500,45.22881
500.0,500,45.337909
500.0,500,45.43743
500.0,500,45.534573
500.0,500,45.629941
471.0,471,46.321061
113.0,113,46.349615
126.0,126,46.374099
107.0,107,46.395187
124.0,124,46.419151
134.0,134,46.445305
91.0,91,46.470282
94.0,94,46.491576
78.0,78,46.508853
101.0,101,46.531516
67.0,67,46.546534
135.0,135,46.587927
128.0,128,46.613235
128.0,128,46.638715
134.0,134,46.666599
128.0,128,46.692913
77.0,77,46.713512
93.0,93,46.735664
80.0,80,46.753495
114.0,114,46.778998
124.0,124,46.833505
118.0,118,46.856056
130.0,130,46.880833
134.0,134,46.907463
132.0,132,46.936472
110.0,110,46.968383
98.0,98,46.99125
73.0,73,47.007484
100.0,100,47.029669
91.0,91,47.04969
124.0,124,47.079858
130.0,130,47.105691
122.0,122,47.129048
128.0,128,47.154162
122.0,122,47.178932
123.0,123,47.211046
71.0,71,47.227453
77.0,77,47.244682
122.0,122,47.272262
167.0,167,47.878505
174.0,174,47.912196
171.0,171,47.945155
173.0,173,47.978066
162.0,162,48.00946
145.0,145,48.046497
120.0,120,48.073477
160.0,160,48.109984
182.0,182,48.162421
176.0,176,48.198097
164.0,164,48.231376
162.0,162,48.263233
173.0,173,48.296813
123.0,123,48.328825
131.0,131,48.358918
139.0,139,48.390016
167.0,167,48.446339
172.0,172,48.479189
173.0,173,48.512909
178.0,178,48.548316
173.0,173,48.581626
148.0,148,48.618662
142.0,142,48.651645
124.0,124,48.681112
169.0,169,48.735146
183.0,183,48.769935
181.0,181,48.806762
173.0,173,48.840893
165.0,165,48.873132
173.0,173,48.917748
157.0,157,48.954392
138.0,138,49.533069
435.0,435,49.623748
500.0,500,49.72075
487.0,487,49.813604
500.0,500,49.949279
500.0,500,50.051261
416.0,416,50.153776
480.0,480,50.271981
500.0,500,50.371577
500.0,500,50.475281
500.0,500,50.57139
500.0,500,50.667019
375.0,375,50.758931
500.0,500,50.893394
392.0,392,50.978986
500.0,500,51.081016
434.0,434,51.166801
500.0,500,51.264959
445.0,445,51.369285
494.0,494,51.478343
476.0,476,51.578979
486.0,486,51.673413
500.0,500,51.773487
500.0,500,51.870182
500.0,500,51.990637
500.0,500,52.088617
385.0,385,52.164295
500.0,500,52.263921
500.0,500,52.362454
500.0,500,52.460479
236.0,236,53.127532
248.0,248,53.18377
307.0,307,53.247467
310.0,310,53.307309
346.0,346,53.37344
302.0,302,53.43008
329.0,329,53.494891
189.0,189,53.540877
226.0,226,53.5928
329.0,329,53.677857
305.0,305,53.739098
312.0,312,53.799672
306.0,306,53.857735
303.0,303,53.918168
132.0,132,53.951543
263.0,263,54.010964
326.0,326,54.097017
336.0,336,54.163776
295.0,295,54.222491
320.0,320,54.285384
316.0,316,54.345549
220.0,220,54.398252
255.0,255,54.455614
303.0,303,54.526
322.0,322,54.597118
311.0,311,54.662416
318.0,318,54.726642
326.0,326,54.790684
212.0,212,55.414874
229.0,229,55.466299
284.0,284,55.539105
277.0,277,55.594698
250.0,250,55.645387
274.0,274,55.70081
287.0,287,55.762741
146.0,146,55.805774
160.0,160,55.844458
189.0,189,55.887902
282.0,282,55.94712
252.0,252,55.998418
288.0,288,56.057156
261.0,261,56.108987
262.0,262,56.160294
236.0,236,56.216529
175.0,175,56.25844
278.0,278,56.331498
252.0,252,56.379987
263.0,263,56.43078
269.0,269,56.482673
274.0,274,56.535772
199.0,199,56.582643
266.0,266,56.642183
259.0,259,56.700644
260.0,260,56.751045
256.0,256,56.803126
278.0,278,56.85727
275.0,275,56.911847
232.0,232,57.539043
425.0,425,57.681294
413.0,413,57.764554
465.0,465,57.853777
457.0,457,57.942565
366.0,366,58.015212
294.0,294,58.087237
461.0,461,58.229962
500.0,500,58.339534
376.0,376,58.417395
500.0,500,58.530574
341.0,341,58.599297
500.0,500,58.72658
500.0,500,58.842901
500.0,500,58.967403
397.0,397,59.061062
461.0,461,59.161744
383.0,383,59.248412
307.0,307,59.327471
421.0,421,59.465551
500.0,500,59.572107
384.0,384,59.651361
500.0,500,59.761576
500.0,500,59.868092
445.0,445,60.746303
500.0,500,60.862198
500.0,500,60.973151
500.0,500,61.074321
500.0,500,61.178098
500.0,500,61.276019
143.0,143,61.313894
500.0,500,61.491392
500.0,500,61.588304
500.0,500,61.685747
500.0,500,61.782306
500.0,500,61.877836
454.0,454,61.988449
500.0,500,62.096735
500.0,500,62.1994
500.0,500,62.296298
500.0,500,62.392806
500.0,500,62.488273
