#{"t_start": 1652784617.659956, "env_id": null}
r,l,t
45.0,45,5310.957576
38.0,38,5312.283518
51.0,51,5313.804201
56.0,56,5315.428564
73.0,73,5318.844652
92.0,92,5321.141601
106.0,106,5323.853755
66.0,66,5325.644394
70.0,70,5327.591786
63.0,63,5329.375846
53.0,53,5331.047884
56.0,56,5332.648008
75.0,75,5334.679678
58.0,58,5336.361933
44.0,44,5337.648604
33.0,33,5338.688666
50.0,50,5340.122684
118.0,118,5344.990121
80.0,80,5347.158515
71.0,71,5349.045901
74.0,74,5351.026091
79.0,79,5353.161535
54.0,54,5354.722323
52.0,52,5356.262311
59.0,59,5357.932656
41.0,41,5359.216209
55.0,55,5360.963261
54.0,54,5362.527911
46.0,46,5363.903462
68.0,68,5365.796391
44.0,44,5367.156226
95.0,95,5370.617354
69.0,69,5372.4504
84.0,84,5374.619765
79.0,79,5376.655253
72.0,72,5378.490203
58.0,58,5380.150657
55.0,55,5381.819492
53.0,53,5383.391574
56.0,56,5385.042175
69.0,69,5387.067944
62.0,62,5388.838416
63.0,63,5390.60666
37.0,37,5391.767359
61.0,61,5394.913834
65.0,65,5396.671372
70.0,70,5398.55731
67.0,67,5400.419859
62.0,62,5402.093848
24.0,24,5403.052122
74.0,74,5405.249294
24.0,24,5406.210809
47.0,47,5407.639737
37.0,37,5408.83764
39.0,39,5410.190102
65.0,65,5412.293303
46.0,46,5413.763672
80.0,80,5416.107693
40.0,40,5417.49508
59.0,59,5420.103497
61.0,61,5421.794782
58.0,58,5423.41492
67.0,67,5425.229406
62.0,62,5426.875948
89.0,89,5429.494938
67.0,67,5431.615801
50.0,50,5433.158966
70.0,70,5435.232133
43.0,43,5436.589182
40.0,40,5437.891102
49.0,49,5439.381186
35.0,35,5440.541164
41.0,41,5441.847659
55.0,55,5444.233111
39.0,39,5445.404582
59.0,59,5446.99846
63.0,63,5448.685505
58.0,58,5450.417197
51.0,51,5451.997636
42.0,42,5453.448107
44.0,44,5454.838966
40.0,40,5456.269811
26.0,26,5457.178703
25.0,25,5458.157263
28.0,28,5459.078366
20.0,20,5459.839854
35.0,35,5461.129817
43.0,43,5462.617938
24.0,24,5463.579342
44.0,44,5464.971871
34.0,34,5466.103149
35.0,35,5467.237751
57.0,57,5469.388238
51.0,51,5470.821004
49.0,49,5472.188387
56.0,56,5473.754743
48.0,48,5475.126006
28.0,28,5476.120092
36.0,36,5477.446944
41.0,41,5478.766187
49.0,49,5480.26599
36.0,36,5481.41862
27.0,27,5482.329284
37.0,37,5483.527716
24.0,24,5484.364609
23.0,23,5485.209146
56.0,56,5487.084536
41.0,41,5488.516814
23.0,23,5489.386681
37.0,37,5490.574899
28.0,28,5491.735001
49.0,49,5493.805658
41.0,41,5495.010112
49.0,49,5496.437167
42.0,42,5497.676802
47.0,47,5499.02398
37.0,37,5500.2739
41.0,41,5501.742836
43.0,43,5503.146324
32.0,32,5504.217818
23.0,23,5505.113094
40.0,40,5506.368237
30.0,30,5507.42189
39.0,39,5508.645854
57.0,57,5510.320239
37.0,37,5511.619453
33.0,33,5512.817206
44.0,44,5514.337692
48.0,48,5517.027081
72.0,72,5518.971076
46.0,46,5520.292701
50.0,50,5521.730536
62.0,62,5523.402664
56.0,56,5525.271006
35.0,35,5526.439187
32.0,32,5527.475704
38.0,38,5528.687988
18.0,18,5529.379647
23.0,23,5530.330846
28.0,28,5531.271775
31.0,31,5532.325884
48.0,48,5533.941719
43.0,43,5535.335358
15.0,15,5535.965014
35.0,35,5537.166315
69.0,69,5539.308409
56.0,56,5541.8491
87.0,87,5544.103789
51.0,51,5545.562261
50.0,50,5546.967218
45.0,45,5548.293957
31.0,31,5549.328777
19.0,19,5550.162985
45.0,45,5551.544854
35.0,35,5552.675125
36.0,36,5553.973883
38.0,38,5555.306591
27.0,27,5556.358536
41.0,41,5557.689639
29.0,29,5558.703994
39.0,39,5560.007901
61.0,61,5561.895865
31.0,31,5562.993034
31.0,31,5564.063027
33.0,33,5565.149288
52.0,52,5567.064468
65.0,65,5568.823897
61.0,61,5570.499054
61.0,61,5572.168082
63.0,63,5573.837354
26.0,26,5574.854323
43.0,43,5576.215318
35.0,35,5577.409838
50.0,50,5578.95896
72.0,72,5581.047173
36.0,36,5582.242967
17.0,17,5582.918232
44.0,44,5584.271326
39.0,39,5585.489197
53.0,53,5587.259784
23.0,23,5588.106308
43.0,43,5589.417184
54.0,54,5591.792789
54.0,54,5593.334314
48.0,48,5594.735103
56.0,56,5596.278349
43.0,43,5597.496174
24.0,24,5598.369392
25.0,25,5599.246388
43.0,43,5600.568087
42.0,42,5601.888378
47.0,47,5603.350002
23.0,23,5604.220222
24.0,24,5605.067877
30.0,30,5606.212297
49.0,49,5607.757976
37.0,37,5609.040193
24.0,24,5609.890359
47.0,47,5611.313069
47.0,47,5612.759802
58.0,58,5615.714098
50.0,50,5617.217984
55.0,55,5618.750629
66.0,66,5620.541423
59.0,59,5622.195052
46.0,46,5623.655999
44.0,44,5625.133003
40.0,40,5626.373891
45.0,45,5627.729296
42.0,42,5629.024779
33.0,33,5630.102023
44.0,44,5631.443343
57.0,57,5633.117415
31.0,31,5634.141107
30.0,30,5635.122516
41.0,41,5636.602171
25.0,25,5637.480137
60.0,60,5639.923072
58.0,58,5641.624814
44.0,44,5642.956729
59.0,59,5644.525987
60.0,60,5646.103315
36.0,36,5647.310072
51.0,51,5648.980022
21.0,21,5649.80498
32.0,32,5650.835499
41.0,41,5652.128249
39.0,39,5653.478222
30.0,30,5654.509184
59.0,59,5656.229264
70.0,70,5658.342866
47.0,47,5659.800449
53.0,53,5661.344907
38.0,38,5663.260967
38.0,38,5664.413381
41.0,41,5665.594195
40.0,40,5666.775632
43.0,43,5668.034834
30.0,30,5669.169511
61.0,61,5671.041019
